,pre,post,witvliet_2020_6_L3_chem.csv' with 80 nodes and 654 edges_weight,witvliet_2020_4_L1_chem.csv' with 76 nodes and 490 edges_weight,witvliet_2020_3_L1_chem.csv' with 72 nodes and 449 edges_weight,witvliet_2020_2_L1_chem.csv' with 72 nodes and 437 edges_weight,witvliet_2020_1_L1_chem.csv' with 71 nodes and 362 edges_weight,cel_white_1986_jsh_chem.csv' with 81 nodes and 646 edges_weight,cel_n2u_chemical.csv' with 84 nodes and 1246 edges_weight,witvliet_2020_7_ad_chem.csv' with 83 nodes and 988 edges_weight,witvliet_2020_8_ad_chem.csv' with 83 nodes and 961 edges_weight,witvliet_2020_5_L2_chem.csv' with 79 nodes and 680 edges_weight
339,RIM,AVJ,1,0,0,0,0,0,6,0,1,0
340,RIM,AVK,1,0,0,0,0,0,2,0,3,0
341,RIM,BWM,13,9,7,2,3,16,0,15,15,7
342,RIM,RIB,9,10,9,4,2,11,13,7,15,11
343,RIM,RIG,1,2,1,0,0,2,0,0,1,1
344,RIM,RIS,1,3,1,1,1,0,2,1,3,0
345,RIM,RMD,17,7,7,7,8,14,57,26,21,11
346,RIM,RMF,6,0,0,0,0,4,12,8,8,0
347,RIM,SAA,17,9,6,6,3,17,44,26,32,14
348,RIM,SIA,2,2,0,2,0,0,0,1,1,2
349,RIM,SMD,30,20,13,20,14,21,64,35,39,25
350,RIM,AVH,0,0,1,0,0,0,0,0,0,0
351,RIM,RMG,0,0,1,0,0,0,0,0,0,0
352,RIM,PVC,0,0,0,1,0,1,0,0,0,0
353,RIM,SIB,0,0,0,1,0,0,0,0,1,0
354,RIM,CEP,0,0,0,0,1,0,0,0,0,0
355,RIM,RIA,0,0,0,0,0,0,5,1,0,0
356,RIM,RIC,0,0,0,0,0,0,1,0,0,0
357,RIM,RIM,0,0,0,0,0,0,17,0,1,0
358,RIM,VB0,0,0,0,0,0,0,10,0,0,0
359,RIM,AUA,0,0,0,0,0,0,0,1,0,0
360,RIM,OLL,0,0,0,0,0,0,0,1,0,0
361,RIM,RIF,0,0,0,0,0,0,0,1,0,0
362,RIM,AIZ,0,0,0,0,0,0,0,0,1,0
363,RIM,PVP,0,0,0,0,0,0,0,0,0,0
364,RIM,RIV,0,0,0,0,0,0,0,0,0,1
365,RIM,UNK,0,0,0,0,0,0,0,0,0,0
366,RIM,RME,0,0,0,0,0,0,0,0,0,1
367,RIP,IL2,0,0,1,0,0,0,0,0,0,0
368,RIP,RIH,0,0,1,0,0,0,3,0,0,0
369,RIP,RIP,0,0,1,0,0,0,1,0,0,0
370,RIP,AVB,0,0,0,0,0,1,2,0,0,0
371,RIP,OLQ,0,0,0,0,0,2,8,0,0,0
372,RIP,URA,0,0,0,0,0,0,1,0,0,0
373,RIP,ADF,0,0,0,0,0,0,0,0,0,0
374,RIP,AIZ,0,0,0,0,0,0,0,0,0,0
375,RIP,CEP,0,0,0,0,0,0,0,0,0,0
376,RIP,DVA,0,0,0,0,0,0,0,0,0,0
377,RIP,IL1,0,0,0,0,0,0,0,0,0,0
378,RIP,RIA,0,0,0,0,0,0,0,0,0,0
379,RIP,RIC,0,0,0,0,0,0,0,0,0,0
380,RIP,RIR,0,0,0,0,0,0,0,0,0,0
381,RIP,RIV,0,0,0,0,0,0,0,0,0,0
382,RIP,RMD,0,0,0,0,0,0,0,0,0,0
383,RIP,SIA,0,0,0,0,0,0,0,0,0,0
384,RIP,SIB,0,0,0,0,0,0,0,0,0,0
385,RIP,SMB,0,0,0,0,0,0,0,0,0,0
386,RIP,UK2,0,0,0,0,0,0,0,0,0,0
387,RIP,URY,0,0,0,0,0,0,0,0,0,0
388,SDQ,AIB,1,0,0,0,0,2,10,1,4,0
389,SDQ,AVA,3,0,0,0,0,5,26,4,6,0
390,SDQ,AVB,6,1,0,0,0,7,54,13,11,2
391,SDQ,AVE,1,0,0,0,0,0,1,0,0,0
392,SDQ,DVA,5,1,0,0,0,5,16,3,7,0
393,SDQ,PVC,1,0,0,0,0,0,1,0,0,0
394,SDQ,RIC,3,1,0,0,0,0,7,3,1,1
395,SDQ,SDQ,1,0,0,0,0,0,4,3,1,0
396,SDQ,SIB,3,0,0,0,0,0,1,1,1,2
397,SDQ,BDU,0,1,0,0,0,0,0,0,0,0
398,SDQ,PVR,0,1,0,0,0,0,0,0,0,2
399,SDQ,FLP,0,0,0,0,0,1,3,1,1,0
400,SDQ,ADL,0,0,0,0,0,0,1,0,0,0
401,SDQ,ALM,0,0,0,0,0,0,2,1,0,0
402,SDQ,AVD,0,0,0,0,0,0,3,0,0,0
403,SDQ,RIP,0,0,0,0,0,0,1,0,0,0
404,SDQ,RIS,0,0,0,0,0,0,8,2,1,0
405,SDQ,RMF,0,0,0,0,0,0,3,0,0,0
406,SDQ,RMH,0,0,0,0,0,0,22,0,0,1
407,SDQ,SAA,0,0,0,0,0,0,2,0,0,0
408,SDQ,RIA,0,0,0,0,0,0,0,2,0,0
409,SDQ,RIM,0,0,0,0,0,0,0,1,0,0
410,SDQ,RIV,0,0,0,0,0,0,0,1,0,0
411,SDQ,RMG,0,0,0,0,0,0,0,2,0,0
412,SDQ,URY,0,0,0,0,0,0,0,1,0,0
