,pre,post,pristi_s14_new_out_posterior_cut.csv' with 79 nodes and 1619 edges_weight,pristi_15_roi_count.csv' with 89 nodes and 1939 edges_weight,witvliet_dataset8_vol.csv' with 84 nodes and 2098 edges_weight,conserved,average_size,elegans_sum,pristi_sum,pristi_specific,elegans_specific,in_pristi
609,AVB,URY,18947.0,9274.0,1423920.0,3,484047.0,1,2,no,no,yes
610,AVB,AVL,0.0,58.0,42240.0,2,21149.0,1,1,no,no,yes
611,AVB,AWC,0.0,1218.0,0.0,1,1218.0,0,1,no,no,yes
612,AVB,BDU,0.0,2923.0,1638240.0,2,820581.5,1,1,no,no,yes
613,AVB,DVC,0.0,408.0,640800.0,2,320604.0,1,1,no,no,yes
614,AVB,L V,0.0,4317.0,0.0,1,4317.0,0,1,no,no,yes
615,AVB,PVQ,0.0,4416.0,38160.0,2,21288.0,1,1,no,no,yes
616,AVB,PVR,0.0,2000.0,4800960.0,2,2401480.0,1,1,no,no,yes
617,AVB,RID,0.0,13826.0,3482880.0,2,1748353.0,1,1,no,no,yes
618,AVB,RMD,0.0,381.0,32640.0,2,16510.5,1,1,no,no,yes
619,AVB,VB1,0.0,356.0,0.0,1,356.0,0,1,no,no,yes
620,AVB,VB2,0.0,2830.0,0.0,1,2830.0,0,1,no,no,yes
621,AVB,unk,0.0,9664.0,0.0,1,9664.0,0,1,no,no,yes
622,AVB,AVH,0.0,0.0,10770480.0,1,10770480.0,1,0,no,yes,no
623,AVB,AVM,0.0,0.0,3398880.0,1,3398880.0,1,0,no,yes,no
624,AVB,BWM,0.0,0.0,36000.0,1,36000.0,1,0,no,yes,no
625,AVB,CEP,0.0,0.0,404880.0,1,404880.0,1,0,no,yes,no
626,AVB,FLP,0.0,0.0,730560.0,1,730560.0,1,0,no,yes,no
627,AVB,RIG,0.0,0.0,2289840.0,1,2289840.0,1,0,no,yes,no
628,AVB,RMF,0.0,0.0,557280.0,1,557280.0,1,0,no,yes,no
629,AVB,URB,0.0,0.0,199920.0,1,199920.0,1,0,no,yes,no
630,AVD,AVD,889.0,632.0,198240.0,3,66587.0,1,2,no,no,yes
631,AVD,AVE,4699.0,8270.0,2678160.0,3,897043.0,1,2,no,no,yes
632,AVD,AVF,16797.0,4616.0,540960.0,3,187457.66666666666,1,2,no,no,yes
633,AVD,AVJ,67680.0,40077.0,8186400.0,3,2764719.0,1,2,no,no,yes
634,AVD,AWB,13476.0,6459.0,0.0,2,9967.5,0,2,yes,no,yes
635,AVD,BAG,23937.0,11240.0,4566240.0,3,1533805.6666666667,1,2,no,no,yes
636,AVD,BDU,783.0,4087.0,1729920.0,3,578263.3333333334,1,2,no,no,yes
637,AVD,CEP,1551.0,1389.0,366480.0,3,123140.0,1,2,no,no,yes
638,AVD,DVA,20838.0,13597.0,3414720.0,3,1149718.3333333333,1,2,no,no,yes
639,AVD,HSN,17848.0,0.0,97200.0,2,57524.0,1,1,no,no,yes
640,AVD,IL1,1192.0,512.0,154560.0,3,52088.0,1,2,no,no,yes
641,AVD,IL2,1508.0,1876.0,216720.0,3,73368.0,1,2,no,no,yes
642,AVD,OLL,2214.0,1861.0,511920.0,3,171998.33333333334,1,2,no,no,yes
643,AVD,OLQ,8921.0,2605.0,378960.0,3,130162.0,1,2,no,no,yes
644,AVD,PVC,14609.0,8481.0,5213520.0,3,1745536.6666666667,1,2,no,no,yes
645,AVD,PVD,76868.0,32108.0,0.0,2,54488.0,0,2,yes,no,yes
646,AVD,PVP,31937.0,23760.0,813600.0,3,289765.6666666667,1,2,no,no,yes
647,AVD,PVR,23661.0,5712.0,1426080.0,3,485151.0,1,2,no,no,yes
648,AVD,RIB,9339.0,5025.0,0.0,2,7182.0,0,2,yes,no,yes
