,pre,post,witvliet_2020_6_L3_chem.csv' with 80 nodes and 654 edges_weight,witvliet_2020_4_L1_chem.csv' with 76 nodes and 490 edges_weight,witvliet_2020_3_L1_chem.csv' with 72 nodes and 449 edges_weight,witvliet_2020_2_L1_chem.csv' with 72 nodes and 437 edges_weight,witvliet_2020_1_L1_chem.csv' with 71 nodes and 362 edges_weight,cel_white_1986_jsh_chem.csv' with 81 nodes and 646 edges_weight,cel_n2u_chemical.csv' with 84 nodes and 1246 edges_weight,witvliet_2020_7_ad_chem.csv' with 83 nodes and 988 edges_weight,witvliet_2020_8_ad_chem.csv' with 83 nodes and 961 edges_weight,pristi14_chem.csv' with 102 nodes and 1091 edges_weight,witvliet_2020_5_L2_chem.csv' with 79 nodes and 680 edges_weight,conserved,average_size,elegans_sum,pristi_sum,pristi_specific,elegans_specific,in_pristi
77,AIB,RIG,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,4.0,0.0,0.0,4,3.0,4,0,no,no,no
78,AIB,PVP,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,no
79,AIB,AIA,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4,1.0,3,1,no,no,yes
80,AIB,DVC,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,1.0,2,0,no,no,no
81,AIB,ADL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1.0,2,0,no,no,no
82,AIB,AIB,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,3,2.0,2,1,no,no,yes
83,AIB,AIY,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1.0,2,0,no,no,no
84,AIB,AIZ,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,1.0,1.0,4,2.75,3,1,no,no,yes
85,AIB,AQR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,1.0,2,0,no,no,no
86,AIB,ASH,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,2,4.5,1,1,no,no,yes
87,AIB,AUA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,3,2.0,3,0,no,no,no
88,AIB,AWC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2,1.5,1,1,no,no,yes
89,AIB,FLP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,no
90,AIB,RIA,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,3,1.6666666666666667,3,0,no,no,no
91,AIB,RIC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,no
92,AIB,RIF,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,no
93,AIB,SIB,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,4,2.0,3,1,no,no,yes
94,AIB,VB0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1,3.0,1,0,no,no,no
95,AIB,ADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,2.0,1,0,no,no,no
96,AIB,AVK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,1.0,1,1,no,no,yes
97,AIB,ASK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0,1,yes,no,yes
98,AIB,AVD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,2.0,0,1,yes,no,yes
99,AIB,DVB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0,1,yes,no,yes
100,AIB,RMH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,2.0,0,1,yes,no,yes
101,AIB,URA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0,1,yes,no,yes
102,AIB,URY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,3.0,0,1,yes,no,yes
103,AIB,SMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1,0,no,no,no
104,ASH,ADA,5.0,4.0,3.0,2.0,2.0,3.0,8.0,6.0,5.0,0.0,5.0,10,4.3,10,0,no,yes,no
105,ASH,ADF,4.0,0.0,2.0,1.0,0.0,6.0,11.0,4.0,1.0,0.0,6.0,8,4.375,8,0,no,no,no
106,ASH,AIA,20.0,10.0,7.0,7.0,4.0,18.0,61.0,28.0,25.0,10.0,16.0,11,18.727272727272727,10,1,no,no,yes
107,ASH,AIB,15.0,3.0,6.0,7.0,3.0,6.0,25.0,14.0,14.0,15.0,11.0,11,10.818181818181818,10,1,no,no,yes
108,ASH,AVA,12.0,17.0,4.0,1.0,0.0,7.0,26.0,14.0,35.0,0.0,5.0,9,13.444444444444445,9,0,no,no,no
109,ASH,AVB,13.0,10.0,4.0,2.0,3.0,10.0,20.0,23.0,22.0,0.0,13.0,10,12.0,10,0,no,yes,no
110,ASH,AVD,15.0,8.0,6.0,2.0,2.0,9.0,56.0,22.0,21.0,0.0,13.0,10,15.4,10,0,no,yes,no
111,ASH,AVE,1.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,4.0,0.0,2.0,6,2.8333333333333335,6,0,no,no,no
112,ASH,AVJ,1.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,6,2.1666666666666665,6,0,no,no,no
113,ASH,AWB,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,2.0,6,2.0,6,0,no,no,no
114,ASH,RIA,4.0,4.0,3.0,2.0,0.0,7.0,17.0,3.0,2.0,0.0,5.0,9,5.222222222222222,9,0,no,no,no
115,ASH,RIM,3.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,3.0,5,3.0,5,0,no,no,no
116,ASH,RMG,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,3,3.6666666666666665,3,0,no,no,no
117,ASH,ASK,0.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,7,1.7142857142857142,6,1,no,no,yes
118,ASH,AVH,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,3.0,0.0,2.0,6,2.3333333333333335,6,0,no,no,no
119,ASH,AWA,0.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,7,1.7142857142857142,7,0,no,no,no
120,ASH,PVC,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3,2.0,3,0,no,no,no
121,ASH,PVQ,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3,1.3333333333333333,3,0,no,no,no
