,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific
570,ASJ,ASK,11.0,8.0,30.0,6.0,0.0,4,55.0,55.0,3,1,not specific
571,ASJ,AVF,0.0,0.0,0.0,29.0,8.0,2,37.0,37.0,0,2,pristi_specific
572,ASJ,AWA,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
573,ASJ,CEP,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
574,ASJ,HSN,2.0,0.0,3.0,7.0,0.0,3,12.0,12.0,2,1,not specific
575,ASJ,PVN,1.0,0.0,0.0,9.0,0.0,2,10.0,10.0,1,1,not specific
576,ASJ,PVQ,24.0,27.0,63.0,96.0,19.0,5,229.0,76.33333333333333,3,2,core
577,ASJ,RIF,0.0,0.0,0.0,3.0,0.0,1,3.0,3.0,0,1,not specific
578,ASJ,RIS,0.0,0.0,0.0,3.0,0.0,1,3.0,1.0,0,1,not specific
579,ASJ,RMG,0.0,0.0,0.0,0.0,8.0,1,8.0,8.0,0,1,not specific
580,ASJ,SAA,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
581,ASK,ADA,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
582,ASK,ADL,4.0,4.0,3.0,2.0,0.0,4,13.0,13.0,3,1,not specific
583,ASK,AIA,42.0,55.0,69.0,61.0,22.0,5,249.0,83.0,3,2,core
584,ASK,AIB,15.0,12.0,12.0,4.0,0.0,4,43.0,43.0,3,1,not specific
585,ASK,AIM,12.0,13.0,10.0,0.0,0.0,3,35.0,35.0,3,0,cel_specific
586,ASK,AIN,2.0,1.0,0.0,0.0,0.0,2,3.0,1.5,2,0,not specific
587,ASK,ALA,0.0,0.0,1.0,1.0,0.0,2,2.0,0.6666666666666666,1,1,not specific
588,ASK,ASE,0.0,2.0,5.0,0.0,0.0,2,7.0,7.0,2,0,not specific
589,ASK,ASG,1.0,1.0,1.0,0.0,0.0,3,3.0,1.0,3,0,cel_specific
590,ASK,ASH,1.0,0.0,0.0,2.0,2.0,3,5.0,1.6666666666666667,1,2,not specific
591,ASK,ASI,1.0,1.0,0.0,6.0,0.0,3,8.0,8.0,2,1,not specific
592,ASK,ASJ,0.0,0.0,1.0,4.0,0.0,2,5.0,5.0,1,1,not specific
593,ASK,ASK,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
594,ASK,AVD,1.0,0.0,0.0,0.0,0.0,1,1.0,0.25,1,0,not specific
595,ASK,AVF,0.0,2.0,0.0,0.0,0.0,1,2.0,2.0,1,0,not specific
