,Unnamed: 0,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific,how_many_datasets_have_syn_include_zeros,cyto_id,Cytoscape Bins
1460,1822,SAA,RME,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific,1.0,SAA (pp) RME,1-3
1461,1824,SAA,RMG,0.0,1.0,1.0,0.0,4.0,3,6.0,3.0,2,1,not specific,6.0,SAA (pp) RMG,1-3
1462,1826,SAA,SAA,0.0,0.0,1.0,6.0,8.0,3,15.0,15.0,1,2,not specific,15.0,SAA (pp) SAA,>10
1463,1827,SAA,SIB,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0,SAA (pp) SIB,1-3
1464,1828,SAA,SMB,0.0,0.0,6.0,0.0,0.0,1,6.0,2.0,1,0,not specific,6.0,SAA (pp) SMB,1-3
1465,1829,SAA,SMD,20.0,21.0,41.0,19.0,10.0,5,111.0,37.0,3,2,core,111.0,SAA (pp) SMD,>10
1466,1862,SIA,ADE,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific,1.0,SIA (pp) ADE,1-3
1467,1863,SIA,ALM,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific,1.0,SIA (pp) ALM,1-3
1468,1864,SIA,ALN,0.0,0.0,4.0,0.0,0.0,1,4.0,4.0,1,0,not specific,4.0,SIA (pp) ALN,>3-10
1469,1865,SIA,AVA,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0,SIA (pp) AVA,1-3
1470,1867,SIA,CEP,0.0,0.0,1.0,0.0,0.0,1,1.0,0.2,1,0,not specific,1.0,SIA (pp) CEP,1-3
1471,1868,SIA,IL1,0.0,0.0,1.0,0.0,0.0,1,1.0,0.2,1,0,not specific,1.0,SIA (pp) IL1,1-3
1472,1869,SIA,IL2,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0,SIA (pp) IL2,1-3
1473,1870,SIA,RMD,0.0,0.0,5.0,0.0,0.0,1,5.0,2.5,1,0,not specific,5.0,SIA (pp) RMD,1-3
1474,1871,SIA,SMB,0.0,0.0,2.0,0.0,0.0,1,2.0,0.6666666666666666,1,0,not specific,2.0,SIA (pp) SMB,1-3
1475,1872,SIB,AVD,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0,SIB (pp) AVD,1-3
