,pre,post,witvliet_1_syn,witvliet_2_syn,witvliet_3_syn,witvliet_4_syn,witvliet_5_syn,witvliet_6_syn,cel_jsh_syn,cel_n2u_syn,witvliet_7_syn,witvliet_8_syn,pristi_s14_syn,pristi_s15_syn,conserved_syn,average_size_syn,elegans_sum_syn,pristi_sum_syn,elegans_specific_syn,pristi_specific_syn,specific_syn,average_cel_syn_size,average_pristi_syn_size
1334,PVT,RID,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1335,PVT,RIG,3.0,4.0,1.0,5.0,4.0,4.0,5.0,7.0,8.0,7.0,0.0,0.0,10,4.8,10,0,yes,no,cel_specific,4.8,0.0
1336,PVT,RIH,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,5,2.2,4,1,no,no,not specific,0.7,2.0
1337,PVT,RIM,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2,3.0,1,1,no,no,not specific,0.1,2.5
1338,PVT,RIR,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,3,0,no,no,not specific,0.3,0.0
1339,PVT,RIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1340,PVT,RME,0.0,1.0,0.0,1.0,0.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,6,2.0,6,0,no,no,not specific,1.2,0.0
1341,PVT,SAA,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,2,0,no,no,not specific,0.2,0.0
1342,PVT,SMB,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4,1.25,4,0,no,no,not specific,0.5,0.0
1343,PVT,URA,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,4,1.5,4,0,no,no,not specific,0.6,0.0
1344,PVT,URB,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1345,PVT,URY,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,3,4.666666666666667,2,1,no,no,not specific,0.2,6.0
1346,RIA,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,2.0,1,0,no,no,not specific,0.2,0.0
1347,RIA,AIB,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1348,RIA,AIZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1349,RIA,AUA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,2.0,1,0,no,no,not specific,0.2,0.0
1350,RIA,AVA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2,3.0,2,0,no,no,not specific,0.6,0.0
1351,RIA,BAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,2.0,1,0,no,no,not specific,0.2,0.0
1352,RIA,CEP,2.0,3.0,2.0,4.0,12.0,6.0,1.0,3.0,4.0,7.0,0.0,0.0,10,4.4,10,0,yes,no,cel_specific,4.4,0.0
1353,RIA,IL1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,5,2.0,5,0,no,no,not specific,1.0,0.0
1354,RIA,OLQ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1355,RIA,RIA,6.0,12.0,19.0,32.0,43.0,40.0,7.0,65.0,44.0,101.0,2.0,5.0,12,31.333333333333332,10,2,no,no,core,36.9,3.5
1356,RIA,RIB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,9.0,3,6.333333333333333,1,2,no,no,not specific,0.3,8.0
1357,RIA,RIC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
